"","Fecha","REGION","CASOS"
"212","1-ABR","PIU",1
"213","2-ABR","PIU",0
"214","3-ABR","PIU",0
"215","4-ABR","PIU",2
"216","5 ABRIL","PIU",1
"217","6-ABR","PIU",5
"218","7-ABR","PIU",6
"219","8-ABR","PIU",12
"220","9-ABR","PIU",15
"221","10-ABR","PIU",23
"222","11-ABR","PIU",13
"223","6-MAR","LAM",0
"224","7-MAR","LAM",0
"225","8-MAR","LAM",0
"226","9-MAR","LAM",0
"227","10-MAR","LAM",0
"228","11-MAR","LAM",0
"229","12-MAR","LAM",0
"230","13-MAR","LAM",0
"231","14-MAR","LAM",1
"232","15-MAR","LAM",2
"233","16-MAR","LAM",3
"234","17-MAR","LAM",0
"235","18-MAR","LAM",0
"236","19-MAR","LAM",0
"237","20-MAR","LAM",2
"238","21-MAR","LAM",0
"239","22-MAR","LAM",0
"240","23-MAR","LAM",0
"241","24-MAR","LAM",4
"242","25-MAR","LAM",0
"243","26-MAR","LAM",1
"244","27-MAR","LAM",2
"245","28-MAR","LAM",7
"246","29-MAR","LAM",0
"247","30-MAR","LAM",8
"248","31-MAR","LAM",4
"249","1-ABR","LAM",0
"250","2-ABR","LAM",1
"251","3-ABR","LAM",23
"252","4-ABR","LAM",42
"253","5 ABRIL","LAM",0
"254","6-ABR","LAM",8
"255","7-ABR","LAM",138
"256","8-ABR","LAM",56
"257","9-ABR","LAM",0
"258","10-ABR","LAM",24
"259","11-ABR","LAM",29
"260","6-MAR","CAL",0
"261","7-MAR","CAL",0
"262","8-MAR","CAL",0
"263","9-MAR","CAL",0
"264","10-MAR","CAL",0
"265","11-MAR","CAL",0
"266","12-MAR","CAL",0
"267","13-MAR","CAL",0
"268","14-MAR","CAL",0
"269","15-MAR","CAL",2
"270","16-MAR","CAL",0
"271","17-MAR","CAL",1
"272","18-MAR","CAL",0
"273","19-MAR","CAL",0
"274","20-MAR","CAL",0
"275","21-MAR","CAL",0
"276","22-MAR","CAL",1
"277","23-MAR","CAL",1
"278","24-MAR","CAL",2
"279","25-MAR","CAL",2
"280","26-MAR","CAL",0
"281","27-MAR","CAL",0
"282","28-MAR","CAL",5
"283","29-MAR","CAL",10
"284","30-MAR","CAL",1
"285","31-MAR","CAL",12
"286","1-ABR","CAL",17
"287","2-ABR","CAL",5
"288","3-ABR","CAL",5
"289","4-ABR","CAL",25
"290","5 ABRIL","CAL",20
"291","6-ABR","CAL",52
"292","7-ABR","CAL",159
"293","8-ABR","CAL",93
"294","9-ABR","CAL",52
"295","10-ABR","CAL",76
"296","11-ABR","CAL",55
"297","6-MAR","LAL",0
"298","7-MAR","LAL",0
"299","8-MAR","LAL",0
"300","9-MAR","LAL",0
"301","10-MAR","LAL",0
"302","11-MAR","LAL",0
"303","12-MAR","LAL",0
"304","13-MAR","LAL",0
"305","14-MAR","LAL",0
"306","15-MAR","LAL",1
"307","16-MAR","LAL",0
"308","17-MAR","LAL",1
"309","18-MAR","LAL",0
"310","19-MAR","LAL",0
"311","20-MAR","LAL",2
"312","21-MAR","LAL",0
"313","22-MAR","LAL",0
"314","23-MAR","LAL",1
"315","24-MAR","LAL",1
"316","25-MAR","LAL",3
"317","26-MAR","LAL",0
"318","27-MAR","LAL",1
"319","28-MAR","LAL",2
"320","29-MAR","LAL",3
"321","30-MAR","LAL",4
"322","31-MAR","LAL",13
"323","1-ABR","LAL",7
"324","2-ABR","LAL",6
"325","3-ABR","LAL",5
"326","4-ABR","LAL",0
"327","5 ABRIL","LAL",6
"328","6-ABR","LAL",2
"329","7-ABR","LAL",24
"330","8-ABR","LAL",0
"331","9-ABR","LAL",19
"332","10-ABR","LAL",7
"333","11-ABR","LAL",2
"334","6-MAR","ANC",0
"335","7-MAR","ANC",0
"336","8-MAR","ANC",0
"337","9-MAR","ANC",0
"338","10-MAR","ANC",0
"339","11-MAR","ANC",0
"340","12-MAR","ANC",0
"341","13-MAR","ANC",0
"342","14-MAR","ANC",0
"343","15-MAR","ANC",1
"344","16-MAR","ANC",0
"345","17-MAR","ANC",0
"346","18-MAR","ANC",1
"347","19-MAR","ANC",2
"348","20-MAR","ANC",0
"349","21-MAR","ANC",0
"350","22-MAR","ANC",0
"351","23-MAR","ANC",0
"352","24-MAR","ANC",1
"353","25-MAR","ANC",1
"354","26-MAR","ANC",0
"355","27-MAR","ANC",0
"356","28-MAR","ANC",0
"357","29-MAR","ANC",5
"358","30-MAR","ANC",0
"359","31-MAR","ANC",4
"360","1-ABR","ANC",0
"361","2-ABR","ANC",3
"362","3-ABR","ANC",0
"363","4-ABR","ANC",5
"364","5 ABRIL","ANC",4
"365","6-ABR","ANC",9
"366","7-ABR","ANC",14
"367","8-ABR","ANC",7
"368","9-ABR","ANC",10
"369","10-ABR","ANC",21
"370","11-ABR","ANC",14
"371","6-MAR","LOR",0
"372","7-MAR","LOR",0
"373","8-MAR","LOR",0
"374","9-MAR","LOR",0
"375","10-MAR","LOR",0
"376","11-MAR","LOR",0
"377","12-MAR","LOR",0
"378","13-MAR","LOR",0
"379","14-MAR","LOR",0
"380","15-MAR","LOR",0
"381","16-MAR","LOR",1
"382","17-MAR","LOR",9
"383","18-MAR","LOR",1
"384","19-MAR","LOR",1
"385","20-MAR","LOR",2
"386","21-MAR","LOR",2
"387","22-MAR","LOR",0
"388","23-MAR","LOR",0
"389","24-MAR","LOR",2
"390","25-MAR","LOR",0
"391","26-MAR","LOR",5
"392","27-MAR","LOR",4
"393","28-MAR","LOR",25
"394","29-MAR","LOR",1
"395","30-MAR","LOR",5
"396","31-MAR","LOR",4
"397","1-ABR","LOR",10
"398","2-ABR","LOR",10
"399","3-ABR","LOR",24
"400","4-ABR","LOR",37
"401","5 ABRIL","LOR",28
"402","6-ABR","LOR",35
"403","7-ABR","LOR",84
"404","8-ABR","LOR",25
"405","9-ABR","LOR",0
"406","10-ABR","LOR",0
"407","11-ABR","LOR",7
"408","6-MAR","SAM",0
"409","7-MAR","SAM",0
"410","8-MAR","SAM",0
"411","9-MAR","SAM",0
"412","10-MAR","SAM",0
"413","11-MAR","SAM",0
"414","12-MAR","SAM",0
"415","13-MAR","SAM",0
"416","14-MAR","SAM",0
"417","15-MAR","SAM",0
"418","16-MAR","SAM",0
"419","17-MAR","SAM",1
"420","18-MAR","SAM",0
"421","19-MAR","SAM",0
"422","20-MAR","SAM",0
"423","21-MAR","SAM",0
"424","22-MAR","SAM",0
"425","23-MAR","SAM",0
"426","24-MAR","SAM",0
"427","25-MAR","SAM",0
"428","26-MAR","SAM",0
"429","27-MAR","SAM",1
"430","28-MAR","SAM",2
"431","29-MAR","SAM",1
"432","30-MAR","SAM",1
"433","31-MAR","SAM",0
"434","1-ABR","SAM",0
"435","2-ABR","SAM",0
"436","3-ABR","SAM",2
"437","4-ABR","SAM",0
"438","5 ABRIL","SAM",0
"439","6-ABR","SAM",0
"440","7-ABR","SAM",3
"441","8-ABR","SAM",4
"442","9-ABR","SAM",3
"443","10-ABR","SAM",2
"444","11-ABR","SAM",3
"445","6-MAR","MDD",0
"446","7-MAR","MDD",0
"447","8-MAR","MDD",0
"448","9-MAR","MDD",0
"449","10-MAR","MDD",0
"450","11-MAR","MDD",0
"451","12-MAR","MDD",0
"452","13-MAR","MDD",0
"453","14-MAR","MDD",0
"454","15-MAR","MDD",0
"455","16-MAR","MDD",0
"456","17-MAR","MDD",0
"457","18-MAR","MDD",1
"458","19-MAR","MDD",0
"459","20-MAR","MDD",0
"460","21-MAR","MDD",0
"461","22-MAR","MDD",0
"462","23-MAR","MDD",0
"463","24-MAR","MDD",0
"464","25-MAR","MDD",0
"465","26-MAR","MDD",0
"466","27-MAR","MDD",0
"467","28-MAR","MDD",0
"468","29-MAR","MDD",0
"469","30-MAR","MDD",0
"470","31-MAR","MDD",0
"471","1-ABR","MDD",1
"472","2-ABR","MDD",0
"473","3-ABR","MDD",0
"474","4-ABR","MDD",0
"475","5 ABRIL","MDD",0
"476","6-ABR","MDD",0
"477","7-ABR","MDD",0
"478","8-ABR","MDD",1
"479","9-ABR","MDD",0
"480","10-ABR","MDD",1
"481","11-ABR","MDD",0
"482","6-MAR","JUN",0
"483","7-MAR","JUN",0
"484","8-MAR","JUN",0
"485","9-MAR","JUN",0
"486","10-MAR","JUN",0
"487","11-MAR","JUN",0
"488","12-MAR","JUN",0
"489","13-MAR","JUN",0
"490","14-MAR","JUN",0
"491","15-MAR","JUN",0
"492","16-MAR","JUN",0
"493","17-MAR","JUN",0
"494","18-MAR","JUN",0
"495","19-MAR","JUN",3
"496","20-MAR","JUN",7
"497","21-MAR","JUN",0
"498","22-MAR","JUN",0
"499","23-MAR","JUN",0
"500","24-MAR","JUN",1
"501","25-MAR","JUN",0
"502","26-MAR","JUN",1
"503","27-MAR","JUN",0
"504","28-MAR","JUN",1
"505","29-MAR","JUN",0
"506","30-MAR","JUN",4
"507","31-MAR","JUN",0
"508","1-ABR","JUN",2
"509","2-ABR","JUN",0
"510","3-ABR","JUN",6
"511","4-ABR","JUN",0
"512","5 ABRIL","JUN",3
"513","6-ABR","JUN",0
"514","7-ABR","JUN",14
"515","8-ABR","JUN",14
"516","9-ABR","JUN",0
"517","10-ABR","JUN",2
"518","11-ABR","JUN",6
"519","6-MAR","TUM",0
"520","7-MAR","TUM",0
"521","8-MAR","TUM",0
"522","9-MAR","TUM",0
"523","10-MAR","TUM",0
"524","11-MAR","TUM",0
"525","12-MAR","TUM",0
"526","13-MAR","TUM",0
"527","14-MAR","TUM",0
"528","15-MAR","TUM",0
"529","16-MAR","TUM",0
"530","17-MAR","TUM",0
"531","18-MAR","TUM",0
"532","19-MAR","TUM",0
"533","20-MAR","TUM",0
"534","21-MAR","TUM",0
"535","22-MAR","TUM",0
"536","23-MAR","TUM",3
"537","24-MAR","TUM",0
"538","25-MAR","TUM",0
"539","26-MAR","TUM",2
"540","27-MAR","TUM",1
"541","28-MAR","TUM",2
"542","29-MAR","TUM",0
"543","30-MAR","TUM",2
"544","31-MAR","TUM",3
"545","1-ABR","TUM",2
"546","2-ABR","TUM",2
"547","3-ABR","TUM",3
"548","4-ABR","TUM",6
"549","5 ABRIL","TUM",0
"550","6-ABR","TUM",1
"551","7-ABR","TUM",0
"552","8-ABR","TUM",0
"553","9-ABR","TUM",0
"554","10-ABR","TUM",41
"555","11-ABR","TUM",1
"556","6-MAR","CAJ",0
"557","7-MAR","CAJ",0
